Title,Link,Description,Publication Date
"2 Army officers thrashed, their female friend gang-raped in Madhya Pradesh",https://timesofindia.indiatimes.com/city/indore/2-army-officers-thrashed-their-female-friend-gang-raped-in-mp/articleshow/113271171.cms,,2024-09-12
Centre seeks review of SC's mineral royalty judgment,https://timesofindia.indiatimes.com/india/centre-seeks-review-of-scs-mineral-royalty-judgment/articleshow/113272102.cms,"The Centre has requested a review of a Supreme Court decision permitting states to levy royalties and taxes on extracted minerals and mineral-bearing land. This could result in a financial burden of up to Rs 1.5 lakh crore for PSUs and private industries. Madhya Pradesh joins as co-petitioner, citing public interest concerns.",2024-09-12
IIT-Guwahati academic affairs dean quits amid stir over student suicide',https://timesofindia.indiatimes.com/india/iit-guwahati-academic-affairs-dean-quits-amid-stir-over-student-suicide/articleshow/113274022.cms,,2024-09-12
BJP netas would’ve been in jail had we got 20 more seats: Kharge,https://timesofindia.indiatimes.com/india/they-would-have-been-in-jail-if-we-had-20-more-seats-kharge-attacks-govt/articleshow/113270347.cms,Congress chief Mallikarjun Kharge attacked the BJP and Modi government at a rally in Anantnag. He claimed that many BJP members would be jailed if the INDIA bloc had formed a government. Kharge announced five guarantees for Jammu &amp; Kashmir and promised to restore its statehood while criticizing the lack of manufacturing units and vacant government posts.,2024-09-12
"ODI World Cup 2023 boosts India's economy by Rs 11,637 crore: ICC",https://timesofindia.indiatimes.com/sports/cricket/news/rs-11637-crore-icc-report-says-odi-world-cup-2023-boosts-indias-economy-by-a-staggering-1-39-billion/articleshow/113274398.cms,"The ICC Men's ODI World Cup 2023 significantly impacted India's economy with a contribution of USD 1.39 billion, driven by tourism and media exposure. The event drew record crowds and created thousands of jobs, highlighting India's potential as a premier host for global sports events. The World Cup is expected to have long-term benefits too.",2024-09-12
Apple iPhone 16 vs iPhone 15: Which iPhone to buy and why,https://timesofindia.indiatimes.com/technology/mobiles-tabs/apple-iphone-16-vs-iphone-15-which-iphone-to-buy-and-why/articleshow/113264983.cms,"Apple's latest iPhone 16 features notable upgrades over the iPhone 15, including a powerful A18 chip, advanced AI capabilities, enhanced camera functions with macro photography support, and new buttons for added functionality. It also offers improved battery life and faster MagSafe charging. Despite these advancements, the iPhone 15 is still a strong option at a reduced price.",2024-09-11
PM Modi sets target of $500 billion for electronics production in next 6 years,https://timesofindia.indiatimes.com/india/at-semicon-meet-pm-modi-sets-target-of-500-billion-for-electronics-production-in-next-6-years/articleshow/113274386.cms,"Prime Minister Narendra Modi has set an ambitious goal of tripling India's electronics manufacturing to $500 billion in six years. At SEMICON India 2024, he emphasized India's aim to become a global semiconductor leader with significant investments. Modi also pointed out growing partnerships with Japan, Singapore, and the US in this sector.",2024-09-12
Why Biden wore a 'Trump 2024 hat' at the 9/11 memorial event,https://timesofindia.indiatimes.com/world/us/biden-wears-trump-2024-hat-at-9/11-memorial-event-heres-what-happened/articleshow/113271170.cms,"President Joe Biden was seen wearing a 'Trump 2024' hat during a private gathering in Shanksville, Pennsylvania. The photo quickly went viral and elicited mixed reactions on social media. Biden wore the hat briefly at the request of a Trump supporter while discussing bipartisan unity during a 9/11 memorial event.",2024-09-12
Caste census not 'Mandal vs kamandal' issue: Rahul Gandhi,https://timesofindia.indiatimes.com/india/not-mandal-vs-kamandal-issue-rahul-says-50-quota-cap-must-go-reiterates-demand-for-caste-census/articleshow/113270704.cms,,2024-09-12
"iPhone 16 series: Specifications, price in India, and how to pre-order",https://timesofindia.indiatimes.com/technology/mobiles-tabs/iphone-16-series-launched-complete-features-specifications-price-in-india-and-how-to-pre-order/articleshow/113255679.cms,"Apple has unveiled its iPhone 16 series comprising four models: iPhone 16, iPhone 16 Plus, iPhone 16 Pro, and iPhone 16 Pro Max. The phones feature a new Camera Control button and Apple Intelligence with iOS18. Prices in India start at Rs 79,900 for the base model and go up to Rs 1,84,900 for the top-end variant.",2024-09-11
"Bangladesh 'urges' pause in Durga puja activities during azaan, namaaz",https://timesofindia.indiatimes.com/world/south-asia/bangladesh-urges-pause-in-durga-puja-activities-during-azaan-namaaz/articleshow/113274093.cms,,2024-09-12
Bajaj Housing Finance's IPO gets record Rs 3.2 lakh crore demand,https://timesofindia.indiatimes.com/business/india-business/bajaj-housing-finances-ipo-gets-record-3-2-lakh-crore-demand/articleshow/113270717.cms,,2024-09-12
'He slapped me': Argentina goalkeeper assaults a cameraman - Watch,https://timesofindia.indiatimes.com/sports/football/top-stories/he-slapped-me-argentina-goalkeeper-emiliano-martinez-assaults-a-tv-cameraman-after-fifa-world-cup-qualifier-match-watch/articleshow/113274131.cms,"After Argentina's 1-2 loss to Colombia in a FIFA World Cup qualifier on Tuesday, goalkeeper Emiliano Martínez is accused of slapping a TV cameraman in Barranquilla. The cameraman claims Martínez hit his camera while he was filming. Colombia’s sports journalists’ association has requested FIFA to take disciplinary action against Martínez.",2024-09-12
"Tech layoffs: Dell ‘issues’ another job cuts warning, here’s what company said",https://timesofindia.indiatimes.com/technology/tech-news/tech-layoffs-dell-issues-another-job-cuts-warning-heres-what-company-said/articleshow/113255340.cms,Dell is reportedly planning additional job cuts this year to manage costs. The company cited stagnant PC demand and lower profitability of AI-optimised servers. The company expects ongoing headcount reduction through fiscal year ending February 2025. ,2024-09-11
"1st T20I: Head, Zampa star as Australia beat England by 28 runs",https://timesofindia.indiatimes.com/sports/cricket/news/england-vs-australia-1st-t20i-highlights-head-zampa-star-as-australia-beat-england-by-28-runs-in-series-opener/articleshow/113274068.cms,"Australia triumphed over England by 28 runs in the first T20 international at Southampton. Travis Head’s aggressive innings of 59 off just 23 balls set the tone for Australia’s total of 179. Adam Zampa’s economical spell and timely wickets from Josh Hazlewood restricted England to 151 all out, despite a brief fightback from Liam Livingstone and Sam Curran.",2024-09-12
"Congress names 40 more candidates, Surjewala son gets Kaithal ticket",https://timesofindia.indiatimes.com/india/congress-names-40-more-candidates-surjewala-son-gets-kaithal-ticket/articleshow/113274095.cms,,2024-09-12
"North Korea fires ballistic missile into eastern waters, South Korea says",https://timesofindia.indiatimes.com/world/rest-of-world/north-korea-fires-ballistic-missile-into-eastern-waters-south-korea-says/articleshow/113271606.cms,"On Thursday, South Korea's military reported that North Korea launched an unidentified missile off its east coast. This event follows a similar incident in May when North Korea fired an unidentified ballistic missile into the East Sea, also known as the Sea of Japan. According to the Japanese coast guard, the projectile from May fell into the sea.",2024-09-12
Communal violence erupts in Karnataka during Ganesha idol immersion,https://timesofindia.indiatimes.com/city/mysuru/communal-violence-erupts-in-nagamangala-during-ganesha-idol-immersion/articleshow/113270220.cms,"Tensions erupted in Nagamangala, Karnataka during a Ganesh procession when miscreants threw stones at devotees, sparking a clash. Police used mild force and tear gas to disperse the crowd. Ban orders were issued under CrPC 144, and additional police forces were deployed to regain control. Devotees demand the arrest of those responsible.",2024-09-12
70+ citizens with private cover can also avail PMJAY: Centre,https://timesofindia.indiatimes.com/india/70-citizens-with-private-cover-can-also-avail-pmjay-centre/articleshow/113271623.cms,The Union Cabinet has expanded the Ayushman Bharat Pradhan Mantri Jan Arogya Yojana (AB-PMJAY) to cover all senior citizens aged 70 and above. Eligible seniors will get a health cover of up to Rs 5 lakh per year. This move aims to provide accessible and affordable healthcare for elderly citizens across India.,2024-09-12
Sandip Ghosh was under corruption cloud even before appointment as RG Kar principal,https://timesofindia.indiatimes.com/city/kolkata/sandip-ghosh-was-under-corruption-cloud-even-before-appointment-as-rg-kar-principal/articleshow/113274387.cms,,2024-09-12
